REFCODE,MACCS_bit0,MACCS_bit1,MACCS_bit2,MACCS_bit3,MACCS_bit4,MACCS_bit5,MACCS_bit6,MACCS_bit7,MACCS_bit8,MACCS_bit9,MACCS_bit10,MACCS_bit11,MACCS_bit12,MACCS_bit13,MACCS_bit14,MACCS_bit15,MACCS_bit16,MACCS_bit17,MACCS_bit18,MACCS_bit19,MACCS_bit20,MACCS_bit21,MACCS_bit22,MACCS_bit23,MACCS_bit24,MACCS_bit25,MACCS_bit26,MACCS_bit27,MACCS_bit28,MACCS_bit29,MACCS_bit30,MACCS_bit31,MACCS_bit32,MACCS_bit33,MACCS_bit34,MACCS_bit35,MACCS_bit36,MACCS_bit37,MACCS_bit38,MACCS_bit39,MACCS_bit40,MACCS_bit41,MACCS_bit42,MACCS_bit43,MACCS_bit44,MACCS_bit45,MACCS_bit46,MACCS_bit47,MACCS_bit48,MACCS_bit49,MACCS_bit50,MACCS_bit51,MACCS_bit52,MACCS_bit53,MACCS_bit54,MACCS_bit55,MACCS_bit56,MACCS_bit57,MACCS_bit58,MACCS_bit59,MACCS_bit60,MACCS_bit61,MACCS_bit62,MACCS_bit63,MACCS_bit64,MACCS_bit65,MACCS_bit66,MACCS_bit67,MACCS_bit68,MACCS_bit69,MACCS_bit70,MACCS_bit71,MACCS_bit72,MACCS_bit73,MACCS_bit74,MACCS_bit75,MACCS_bit76,MACCS_bit77,MACCS_bit78,MACCS_bit79,MACCS_bit80,MACCS_bit81,MACCS_bit82,MACCS_bit83,MACCS_bit84,MACCS_bit85,MACCS_bit86,MACCS_bit87,MACCS_bit88,MACCS_bit89,MACCS_bit90,MACCS_bit91,MACCS_bit92,MACCS_bit93,MACCS_bit94,MACCS_bit95,MACCS_bit96,MACCS_bit97,MACCS_bit98,MACCS_bit99,MACCS_bit100,MACCS_bit101,MACCS_bit102,MACCS_bit103,MACCS_bit104,MACCS_bit105,MACCS_bit106,MACCS_bit107,MACCS_bit108,MACCS_bit109,MACCS_bit110,MACCS_bit111,MACCS_bit112,MACCS_bit113,MACCS_bit114,MACCS_bit115,MACCS_bit116,MACCS_bit117,MACCS_bit118,MACCS_bit119,MACCS_bit120,MACCS_bit121,MACCS_bit122,MACCS_bit123,MACCS_bit124,MACCS_bit125,MACCS_bit126,MACCS_bit127,MACCS_bit128,MACCS_bit129,MACCS_bit130,MACCS_bit131,MACCS_bit132,MACCS_bit133,MACCS_bit134,MACCS_bit135,MACCS_bit136,MACCS_bit137,MACCS_bit138,MACCS_bit139,MACCS_bit140,MACCS_bit141,MACCS_bit142,MACCS_bit143,MACCS_bit144,MACCS_bit145,MACCS_bit146,MACCS_bit147,MACCS_bit148,MACCS_bit149,MACCS_bit150,MACCS_bit151,MACCS_bit152,MACCS_bit153,MACCS_bit154,MACCS_bit155,MACCS_bit156,MACCS_bit157,MACCS_bit158,MACCS_bit159,MACCS_bit160,MACCS_bit161,MACCS_bit162,MACCS_bit163,MACCS_bit164,MACCS_bit165,MACCS_bit166
AJAGIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,1,0,2,1,0,1,0,2,1,1,1,1,0,1,2,0,0,1,0,0,0,1,1,1,1,2,0,1,1,1,2,0,1,0,2,2,2,0
BOQHOE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,2,1,2,0
BOQHUK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,2,1,1,0,1,0,2,2,2,0
CECPIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,2,1,1,0,1,0,0,1,0,1,1,1,1,2,1,2,0
CECPUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,2,1,2,0
CECRIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,2,1,2,0
CECXEQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,2,1,1,0,1,0,1,1,0,1,1,1,1,2,1,2,0
DOJKIY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,2,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,2,0
EJOMIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,2,1,2,0
GAJQEQ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,2,1,2,0
