Drug_ID,Drug,Y
CECPUY,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].Cc1c[nH+]cc(C)c1,0
CECRIO,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].Cc1cc([nH+]c(c1)C(C)(C)C)C(C)(C)C,0
CECXEQ,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].Cc1[nH+]cccc1C,0
DOJKIY,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].CC1=CC(=[NH+]N1)C,0
EJOMIB,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].C[NH+](C)c1cccc2cccc(N(C)C)c12,0
GINKUK,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)O.c1ccc2nccnc2c1,0
HOLPEE,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].OC(=O)c1[nH+]cccc1,0
HUFZUE,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)O.O=C1CC2(CCCCC2)CN1,0
KOQGEC,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].[NH3+]CC,0
MAKTEB,ClC1=C([O-])C(=O)C(=C([O-])C1=O)Cl.COc1ccccc1[NH+]1CC[NH2+]CC1,0
MAMPUM01,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)O.c1ccc2nc3ccccc3nc2c1,0
MOGBIV,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].[nH+]1cccc2ncccc12,0
NUYCEQ,Cc1[nH+]cccc1.OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-],0
NUYCEQ01,Cc1[nH+]cccc1.OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-],0
NUYDER,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].C[NH2+]C,0
ODIHIU,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)O.O=C1CCCN1,0
OMIXIR,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].[NH2+]1CCCCC1,0
PAGXOL,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].[NH2+]1CCCc2ccccc12,0
POVZEG,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].NC(=O)c1[nH+]cccc1,0
SADTIC03,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)O.O=C1CCCN1,0
SADTIC09,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)O.O=C1CCCN1,0
SADTOI,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)O.O=C1CCCCN1,0
SEYHEM,Cc1cnccn1.OC1=C(Cl)C(=O)C(=C(Cl)C1=O)O,0
SEYHOW,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].Cc1[nH+]cc(C)nc1C,0
SIYCAF,Cc1[nH+]c2c(cc1)ccc1ccc(C)nc21.OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-],0
SOHXIY,CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc1[nH+]cccc1.OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-],0
SOHXIY01,CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc1[nH+]cccc1.OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-],0
UMIQIR,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)O.Cc1cnc(C)cn1,0
UVUSEK,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].Cc1[nH+]cnc(C)c1,0
UWUJOM,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].Cc1cc[nH+]c(c1)c1cc(C)ccn1,0
UWUJUS,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].Cc1c[nH+]c(cc1)c1ccc(C)cn1,0
UWUJUS01,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].Cc1c[nH+]c(cc1)c1ccc(C)cn1,0
UWUJUS02,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].Cc1c[nH+]c(cc1)c1ccc(C)cn1,0
UWUKAZ01,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].Cc1[nH+]c(ccc1)c1cccc(C)n1,0
UWUKAZ03,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].Cc1[nH+]c(ccc1)c1cccc(C)n1,0
VAQHUS,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].CC(C)(C)c1cc[nH+]c(c1)c1cc(ccn1)C(C)(C)C,0
VIPYAX,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)O.O=C1NCCN1,0
WADVAA,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].CC[NH+](CC)CC,0
WATREP,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)O.Cc1nc(C)c(C)nc1C,0
WOGWUL,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].[nH+]1ccccn1,0
WUXYUJ01,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].Cc1[nH+]ccc(C)c1,0
WUXZAQ,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].Cc1[nH+]cc(C)cc1,0
WUXZEU,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].Cc1[nH+]c(C)ccc1,0
WUXZIY,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].Cc1c[nH+]ccc1C,0
CADPAB,[NH3+]C(CC(C)C)C(O)=O.OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-],1
MAMPUM02,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)O.c1ccc2nc3ccccc3nc2c1,1
PAZHOO,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].OC(=O)c1c[nH+]ccc1,1
POVZIK,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].NC(=O)c1c[nH+]ccc1,1
TASLUY,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O-].Cc1[nH+]c2c(O)cccc2cc1,1
