drug_id,t-SNE Feature 1,t-SNE Feature 2
WEXQEW.search1.cif,16.830818,-45.39791
IBIZEA.search1.cif,-25.216833,-9.032986
YACFIU.search1.cif,-72.056274,22.885292
BAGKIF.search1.cif,25.244627,62.29616
ETEZIO.search1.cif,56.70179,-8.626787
NABCAV.search1.cif,-99.79762,28.388687
LACTIV.search1.cif,41.67972,-49.41304
NIBKIV.search1.cif,-59.594288,7.864408
BONZUB.search1.cif,51.98604,10.997381
ZAQMIP.search1.cif,-64.071014,5.5145593
VIMBOL.search1.cif,-16.296295,66.491844
YOLJAM.search1.cif,49.927708,48.87304
DEBLIF.search1.cif,33.01024,4.9963045
NOKZIZ.search1.cif,9.855394,-44.580944
BARBUR01.search1.cif,-52.230713,50.577564
SAFPUL.search1.cif,14.763076,9.48474
OFOKEA.search1.cif,-17.224682,25.732634
REBXON.search1.cif,-8.775619,-57.54552
UHAFAL.search1.cif,-61.963425,55.33415
BOMBOW.search1.cif,-30.153105,0.959408
CAQBOO.search1.cif,46.45731,28.364946
OTICIF.search1.cif,40.606876,33.96989
MEWJIK.search1.cif,-3.0412977,-62.20727
VIXJOC.search1.cif,48.438835,40.106384
APAMEK.search1.cif,-90.79824,19.30233
MOCCOZ.search1.cif,-23.185658,28.41274
TERLEI.search1.cif,17.841064,1.0519333
QUXKAX.search1.cif,33.574112,55.39312
HOLJAU07.search1.cif,-35.801006,1.184202
TOMXEA.search1.cif,29.945219,-37.382526
AHUKIX.search1.cif,69.69233,-39.027763
CEQLAO.search1.cif,-16.112535,-35.774773
EPUPUB01.search1.cif,-11.426777,-59.206562
CILLAM.search1.cif,-29.933416,-2.1109757
NUBQUW.search1.cif,22.114523,70.57017
HIDWUP.search1.cif,-7.7885127,32.662785
LOXPAR.search1.cif,-3.2341757,14.04562
QOLRAN.search1.cif,22.373001,-40.900867
YINVEW.search1.cif,70.284706,-5.3160806
KIGKOB04.search1.cif,21.533873,-46.505836
EFUFIW.search1.cif,30.745354,-74.88181
GALLIP.search1.cif,24.154215,58.120373
UBUPOZ.search1.cif,9.392062,-78.391266
VAVLUZ.search1.cif,-5.025101,-8.370312
AHATEI.search1.cif,-2.8536413,-56.102573
NUKWOG01.search1.cif,-50.25832,7.048235
DEZMAZ.search1.cif,-49.623,49.615284
LENYOU.search1.cif,68.45032,4.7405224
QILCAR.search1.cif,14.593888,-41.124256
JICVEW10.search1.cif,12.26585,-30.842161
ZOHTUN.search1.cif,-40.35744,-23.64178
ABELAU01.search1.cif,33.324974,46.755478
FOHPOJ.search1.cif,-91.566246,8.57782
TEGFAO.search1.cif,-50.270992,26.265139
DIMZAA10.search1.cif,42.70826,-4.6747475
COKNIC.search1.cif,35.188576,-43.044247
BAJROU.search1.cif,46.963257,-24.32771
DUDWIJ.search1.cif,54.33823,28.218287
WIVDUA05.search1.cif,32.174526,-81.894745
ACETEJ.search1.cif,-22.392036,52.678894
VIPWAV.search1.cif,37.80402,-49.25759
VOVRAB.search1.cif,-1.2442994,-67.96417
BABCIQ01.search1.cif,16.326296,-87.85535
JOFNOK02.search1.cif,-76.52509,-6.149449
EWUTEX.search1.cif,12.3037405,-81.911095
QODNAB.search1.cif,-45.32893,-25.066505
NOCTUV.search1.cif,29.533138,-71.495735
YEPKAI.search1.cif,-73.39671,-0.07661771
YUFCOT.search1.cif,-49.33218,-8.696762
HOWXAV04.search1.cif,-72.89531,-1.1568253
SAJCUE.search1.cif,-45.09351,-26.2512
XISPOH.search1.cif,-4.4427505,-50.996265
URMALN.search1.cif,-90.22661,32.725048
RAMSED.search1.cif,25.889997,24.70649
NOPKIM.search1.cif,-8.048589,66.165184
YACQUR.search1.cif,-12.150371,-48.641136
TOFSEP.search1.cif,-40.3594,28.795555
JOLBUI.search1.cif,20.085505,14.403601
EXIBIX.search1.cif,-38.59821,-4.2524157
NUWGUH.search1.cif,31.059996,-28.108547
YUQYUF.search1.cif,-31.15691,8.983453
FOWKOU.search1.cif,-81.061195,-12.2964945
NUFFUQ.search1.cif,43.52571,19.950987
JADGIF.search1.cif,-74.65564,24.836004
EGENIP.search1.cif,14.477043,-31.901325
LEJBUA.search1.cif,16.487476,-60.62946
OJIHIA.search1.cif,21.260666,-67.955215
OCALAG01.search1.cif,2.3081114,10.190299
RIQTET.search1.cif,15.214598,17.820652
RADDOQ.search1.cif,-12.852257,-52.68391
LACTOB.search1.cif,-10.52542,-57.19577
LUTRID05.search1.cif,70.47234,-26.700926
YAMPIM.search1.cif,-7.539684,40.823116
DUKRUY.search1.cif,20.967213,9.828777
SETSAN.search1.cif,-83.08951,17.787731
LEWREK.search1.cif,-38.369984,-2.5724475
BOLHIV.search1.cif,-25.961103,38.479248
JOFJEW03.search1.cif,-28.892536,-67.43252
GOHYUZ.search1.cif,22.662037,-71.582375
