label,t-SNE Feature 1,t-SNE Feature 2
0,23.147596,59.3197
0,-35.370388,7.8341517
0,-110.92104,-26.125635
0,32.20934,-76.88137
0,71.581985,10.212517
0,-144.60411,-32.653954
0,53.842545,62.891594
0,-84.73432,-15.466778
0,65.46262,-14.762032
0,-90.12862,-13.022933
0,-20.110628,-82.11174
0,61.98131,-61.556576
0,41.515762,-7.106264
0,14.458308,58.746487
0,-81.82425,-56.62899
0,19.287762,-11.9936695
0,-21.840193,-33.296635
0,-10.651437,75.68484
0,-93.56953,-62.209526
0,-45.426167,-1.1999727
0,58.11184,-36.337646
0,51.21043,-42.965767
0,-3.4575036,81.36372
0,60.175602,-50.73667
0,-133.16103,-22.215675
0,-28.859985,-37.525787
0,23.242838,-1.3516498
0,41.84154,-68.4689
0,-52.66489,-1.4578859
0,38.846558,48.257267
0,93.01312,42.365284
1,-20.242476,49.07521
0,-13.8597145,77.96519
0,-44.911804,2.432026
0,30.173159,-87.25205
1,-8.81554,-41.146122
0,-4.61507,-17.95518
0,29.687809,53.22616
0,87.71416,5.1390986
0,29.141811,60.051483
0,40.76019,95.99209
1,30.701864,-71.902176
0,15.478261,100.02119
0,-10.859992,13.340448
0,-3.6944656,73.54216
0,-71.65113,-7.7930346
1,-78.651054,-56.65808
0,85.980255,-7.5016766
0,20.201435,54.11673
0,16.483479,41.34001
0,-56.527084,29.15269
0,41.358006,-57.96375
0,-129.41978,-8.522437
1,-61.060184,-51.658703
0,53.34774,6.6519012
0,45.711178,55.45732
0,60.42085,30.823448
0,67.514755,-36.517982
1,34.153843,108.46605
0,-27.828447,-66.0951
0,49.11052,62.893166
0,-2.3097515,88.891136
0,23.79274,111.86651
0,-105.76389,1.7764106
0,18.694855,104.22083
0,-62.404358,31.238676
0,39.645725,91.499176
0,-102.160416,-5.74129
0,-71.55686,10.8908415
0,-101.48042,-4.462665
0,-61.95536,32.777702
0,-5.874214,67.40071
0,-133.49861,-38.62717
1,32.968857,-30.871212
1,-10.30967,-81.664276
0,-15.304367,64.898544
0,-51.717724,-43.64095
0,25.548143,-17.903603
0,-56.348366,5.129359
1,40.898964,36.568913
0,-46.240177,-10.390844
