filename,A_HOMO_LUMO,B_HOMO_LUMO,A_Dipole,B_Dipole,mean_CN,mean_NDV,max packing efficiency,density,vpa,packing fraction,SC_atom,SC_cell,E_els,E_x,E_rep,E_orb,E_DFTc,E_dc,polarity
CADPAB.cif,2.721574,7.285991,5.4464,4.216,7.559311174,0.290453079,0.072655747,1.560218539,10.05634269,0.091648647,5.169925001,372.2346001,-49.08,-1,7.4,-4.05,-2.63,-4.48,0
CECPUY.cif,2.77365,5.426899,4.8892,2.7691,7.1681792,0.313177817,0.077633474,1.560587453,10.85111243,0.09674883,4.95419631,614.3203425,-89.76,-11.3,41.24,-26.44,-5.58,-3.58,0
CECRIO.cif,2.793827,5.501169,4.8046,0.7412,7.984630296,0.284819747,0.075917418,1.320393535,10.02031092,0.083519573,5.700439718,1185.691461,-77.43,-12.62,43.91,-21.22,-8.55,-7.35,0
CECXEQ.cif,2.775525,5.427855,4.9502,2.2394,6.967348432,0.313415168,0.07928861,1.648445257,10.27277662,0.102195587,4.95419631,307.1601712,-87.96,-13.69,47.86,-27.86,-5.93,-3.91,0
DOJKIY.cif,2.701374,6.4945,5.1755,2.5365,7.159820493,0.323809448,0.073893772,1.55805621,11.21321775,0.094581089,4.857980995,563.5257954,-63.02,-1.07,12.37,-6.91,-4.84,-9.04,0
EJOMIB.cif,2.81736,4.554307,4.687,4.3089,7.623612612,0.291278683,0.079253543,1.491878574,9.815494564,0.09411456,5.584962501,536.1564001,-56.44,-3.5,17.35,-9.48,-4.92,-7.24,0
GINKUK.cif,2.890931,4.598824,0.0013,0.5995,6.224414279,0.337990779,0.078102941,1.706676338,10.9987491,0.105877366,4.906890596,294.4134357,-24.59,-14.43,50.2,-16.9,-6.33,-4.11,0
HOLPEE.cif,2.761301,5.02925,4.9247,3.9862,6.378686177,0.330558073,0.078623538,1.795599925,10.96835033,0.106331293,4.807354922,538.4237513,-79.34,-6.58,26.19,-17.5,-4.94,-4.65,0
HUFZUE.cif,2.906434,6.249287,0.8473,5.1915,7.644482193,0.281462696,0.077085722,1.508873273,9.965314221,0.09210897,5.321928095,425.7542476,-2.96,-0.84,6.41,-1.46,-2.28,-2.75,0
KOQGEC.cif,2.80136,9.350156,4.7324,3.9181,7.419632526,0.286489122,0.08243452,1.603450917,10.96304156,0.095890856,4.584962501,220.0782,-91.07,-6.77,26.5,-19.7,-4.86,-3.55,0
MAKTEB.cif,3.275934,4.631329,0.3263,13.5499,7.544884261,0.276621744,0.081836925,1.591925476,9.512161827,0.097495044,5.459431619,480.4299824,-268,-15.7,56.2,-54.52,-8.21,-6.89,0
MAMPUM01.cif,2.907241,3.504426,0.0008,0.0002,6.429882082,0.340743122,0.074924515,1.676466166,10.70809858,0.105873858,4.169925001,300.2346001,-19.89,-11.26,39.75,-13.02,-5.75,-4.72,0
MAMPUM02.cif,2.920901,3.50785,0.2621,0.0148,6.287775224,0.334603758,0.080568137,1.700751339,10.55519673,0.107407539,5.169925001,372.2346001,-20.42,-11.53,40.68,-13.66,-5.72,-4.72,1
MOGBIV.cif,2.683561,4.39865,5.4846,4.8346,6.288002676,0.328975589,0.079208227,1.725688808,10.87757234,0.107056846,4.906890596,294.4134357,-61.09,-14.57,50.77,-22.91,-6.41,-4.18,0
NUYCEQ.cif,2.707835,5.652264,5.2635,1.4924,6.741557699,0.324291686,0.072889597,1.581680401,11.32759372,0.097666534,4.807354922,538.4237513,-94.01,-13.06,46.48,-27.87,-6.61,-3.98,0
NUYCEQ01.cif,2.74895,5.641813,4.9564,1.5072,6.905334013,0.326060627,0.072758283,1.585895874,11.29748382,0.097926833,4.807354922,269.2118756,-60.9,-1.5,10.47,-7.12,-3.55,-6.21,0
NUYDER.cif,2.73103,10.862203,5.0625,1.506,7.538220466,0.294374516,0.078103213,1.59670954,11.00932799,0.095487703,6.584962501,2528.6256,-56.82,-1.17,8,-5.72,-2.5,-3.53,0
ODIHIU.cif,2.879729,6.419917,0.8689,4.8406,7.232640913,0.300297229,0.081140898,1.716337876,10.53804592,0.101953048,5.754887502,1243.0557,-32.29,-21.57,74.71,-31.54,-6.62,-2.93,0
OMIXIR.cif,2.785022,8.62603,4.5766,3.9134,7.974036636,0.280435401,0.074899785,1.559482255,10.10294737,0.095156502,4.95419631,1228.640685,-90.72,-9.79,35.63,-22.38,-5.97,-4.66,0
PAGXOL.cif,2.732714,5.979674,4.7214,5.0608,7.29409427,0.299799902,0.074419944,1.537790604,10.55676569,0.09621241,5.129283017,1436.199245,-88.66,-10.56,38.57,-25.88,-5.8,-4.65,0
PAZHOO.cif,2.805531,4.67866,4.9712,7.1758,6.186513199,0.351051918,0.074534849,1.678975461,11.73023043,0.099425061,4.807354922,269.2118756,-90.41,-10.06,36.43,-27.03,-4.9,-3.47,1
POVZEG.cif,2.796531,4.542683,4.7087,4.7888,6.376512432,0.329469334,0.078499656,1.749859571,10.83472758,0.104920691,4.857980995,563.5257954,-78.73,-7.62,29.63,-19.24,-5.25,-4.19,0
POVZIK.cif,2.777663,4.10394,5.0124,8.3175,6.320342689,0.338507948,0.077177725,1.702480717,11.13625051,0.102079879,4.857980995,281.7628977,-95.83,-13.33,47.73,-32.23,-5.44,-3.63,1
SADTIC03.cif,2.969798,6.438715,0.1,4.8155,7.468057186,0.306152809,0.069078915,1.530299327,10.28661813,0.09057572,5.321928095,425.7542476,-25.48,-16.365,56.32,-21.29,-5.94,-2.77,0
SADTIC09.cif,2.958553,6.451424,0.3056,4.8004,7.575997098,0.289485155,0.075673906,1.593717019,9.877289775,0.094329301,5.321928095,425.7542476,-24.455,-15.5,53.28,-19.915,-5.835,-2.795,0
SADTOI.cif,2.951329,6.251301,0.0035,5.0173,7.72319907,0.290635895,0.078328932,1.644577897,10.37016983,0.098282139,4.906890596,588.8268715,-22.935,-13.33,45.685,-16.86,-5.39,-3.075,0
SEYHEM.cif,2.900762,5.206083,0.2359,0.6742,6.84960316,0.318050314,0.08001414,1.688706303,11.03861521,0.102754745,4.754887502,513.5278502,-26.01,-15.52,53.7,-18.68,-6.49,-4.09,0
SEYHOW.cif,2.746614,4.866562,5.1919,4.4047,7.286400118,0.300522409,0.081203029,1.557586354,10.69817243,0.095628347,5.044394119,332.9300119,-97.27,-15.01,52.7,-31.51,-7.01,-4.14,0
SIYCAF.cif,2.78073,3.934992,4.9548,3.5795,6.91874894,0.324079535,0.075870172,1.508849246,10.93307033,0.095709591,5.392317423,905.909327,-42.42,-0.27,3.81,-4.1,-1.64,-3.18,0
SOHXIY.cif,2.754607,3.09711,4.9847,14.4168,6.489451956,0.327715946,0.07738054,1.661557637,10.79997732,0.100758069,5.64385619,564.385619,-49.5,-2.5,17.32,-7.9,-6.03,-10.39,0
SOHXIY01.cif,2.783656,3.213606,4.7571,13.2829,6.703843521,0.325552107,0.077046184,1.649842109,10.87666796,0.100047631,5.64385619,1128.771238,-36.5,-3.58,17.93,-9.23,-4.99,-6.72,0
