number,coformer1,coformer2
1,COc1ccc(/C=C/[C@H]2CN(C(C)(C)C)S(=O)(=O)N2C(C)(C)C)cc1,COC(=O)[C@](O)(c1ccc(OC)cc1)C1CCCCC1
2,Fc1c(F)c(I)c(F)c(F)c1I,CC(C)(C)[Si](C)(C)O[C@H]1CC2=C(COC2=O)[C@H](O)[C@]1(C)O
3,Nc1ncccn1,C(#Cc1ccncc1)c1ccncc1
4,O=Cc1ccc(O)cc1O,O=C(O)c1cccc(C(=O)O)n1
5,C(=C/c1ccncc1)\c1ccncc1,Cc1ccccc1CC#N
6,Nn1cnnc1,C1#Cc2cccc3c2C2c4c(cccc4C3C3c4c5cccc4C2c2cccc(c23)C#Cc2cc3c#cc4cccc6cc7cccc(c#cc8cc(cc(c#cc9cccc%10cc%11cccc(c#cc(c2)c3)c%11cc9%10)c8)C#C5)c7cc46)C#Cc2cc3c#cc4cccc5cc6cccc(c#cc7cc1cc(c#cc1cccc8cc9cccc(c#cc(c2)c3)c9cc18)c7)c6cc45
7,O,O=C1C=C(Cl)C(=O)C(Cl)=C1
8,O[C@](C#CC#C[C@@](O)(c1ccccc1)c1ccccc1Cl)(c1ccccc1)c1ccccc1Cl,O=C(O)/C=C/C(=O)O
9,Cc1ccc(S(=O)(=O)N2c3c(Br)c4ccccc4n3C[C@@H]2c2ccccc2)cc1,OC(c1ccccc1)(c1ccccc1)[C@H]1CC[C@@H](C(O)(c2ccccc2)c2ccccc2)CC1
10,CCOC(=O)C1=C(C)N=C2SC=C(c3ccccc3)N2[C@@H]1c1ccccc1,c1ccc2c(c1)CN1CCCN3CCCN2[C@@H]31
11,O=C(O)CCCCCCCCC(=O)O,NS(=O)(=O)c1ccc(CC/N=C/c2ccccc2O)cc1
12,Fc1c(F)c(I)c(F)c(F)c1I,O=C(O)/C=C/C(=O)O
13,N#C[C@H]1c2ccccc2CN2CCc3ccccc3[C@@H]12,O=C1O[C@@](Cc2ccccc2)(C23CC4CC(CC(C4)C2)C3)Cc2ccccc21
14,COc1cccc2c1[C@@H]1CC[C@H]3CO[C@]1(CC2)[C@@H]3CO,O=C1CCC(C2CCC(=O)CC2)CC1
15,Cc1ccc(-c2nc(N)nc(N)n2)cc1,CCc1cccc2c1N(C)[C@H]1ON3C(=O)OCC[C@@]34c3cccc(CC)c3N(C)[C@H]4ON3C(=O)OCC[C@]213
16,Oc1cc(O)c(Br)cc1Br,O=C(O)C/C=C/CC(=O)O
17,Nn1c(-c2ccccn2)nnc1-c1ccccn1,CCC[C@H](Cc1ccc(C)cc1)O/N=C(\C)C(=O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1
18,O=c1oc(=O)c2c1c1c(=O)oc(=O)c1c1c(=O)oc(=O)c21,C1CC[C@H]2OCCOCCO[C@@H]3CCCC[C@@H]3OCCOCCO[C@H]2C1
19,c1ccc([C@]23OC[C@H](CO[C@]24CCCCO4)O3)cc1,c12c3c4c5c1c1c6c7c2c2c8c3c3c9c4c4c%10c5c5c1c1c6c6c%11c7c2c2c7c8c3c3c8c9c4c4c9c%10c5c5c1c1c6c6c%11c2c2c7c3c3c8c4c4c9c5c1c1c6c2c3c41
20,Oc1ccc(Cl)cc1,COC(=O)[C@H]1ON2O[C@H](C=C(C)C)[C@@]34CCCC[C@@H]3[C@@H]2[C@@H]1CC4
21,N#CC[C@@H]1N(c2ccccc2)C(c2ccccc2)=NN1C12CC3CC(CC(C3)C1)C2,NC(=O)c1ccc(Br)cc1
22,O=C(O)c1ccccc1/N=N/c1ccc(O)cc1,CC1(C)O[C@H]2[C@@H]3C=CC[C@@H](O3)[C@H]2O1
23,NC(=O)c1ccc(Br)cc1,CC(C)=NNC(=O)c1ccncc1
24,NC(=O)c1cnccn1,Cc1nc(C)c(Cl)c(N)n1
25,Cc1nc(C)c(Cl)c(N)n1,C=CCOC(=O)C1=C(Nc2ccccc2)C[C@H](c2ccccc2)N(c2ccccc2)[C@H]1c1ccccc1
26,O=C(OC[C@]12OO[C@](c3ccccc3)(OC[C@@]13CO3)O2)c1ccccc1,O=C1NCc2ccc(cc2)CNC(=O)c2cccc(c2)C(=O)NCc2ccc(cc2)CNC(=O)c2cccc1c2
27,C1#COC#CO1,O=C(O)c1cc(O)cc(O)c1
28,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,C/C(CCO)=C1\C=C[C@@H](Nc2ccccc2I)[C@@H]1N(NC(=O)OC(C)C)C(=O)OC(C)C
29,Cc1nccnc1C,Br/C(=C(\Br)c1ccccc1)c1ccccc1
